cell_id,lon,lat,canopy_pct,tree_count,lst_c,dw_built,road_pct,sidewalk_pct,pop_density,poverty,income_proxy,value_per_acre,near_park_m,near_bike_m
3047,-121.724193,38.560713,4.82,4,34.25130081176758,0.7526494413614273,9.321238661244918,7.22552392868314,2765.9495693078175,8.294736842105262,128060.14330226039,2637007.7967327996,572.4236064034933,34.30050446564475
3149,-121.725325,38.561626,12.39,7,32.47051239013672,0.7489474155008793,0.0,3.483992467043315,1875.823046601496,8.294736842105262,121907.52480010074,2141047.322223844,433.18052774833654,115.17883588620204
3152,-121.721883,38.561589,14.07,7,34.28889846801758,0.7477066388819367,0.1569365976145637,1.7576898932831135,3451.9366285711117,8.294736842105262,102095.13645905988,2521749.0165574257,382.35338427931066,162.72267951547903
3151,-121.72303,38.561601,8.83,5,34.22737503051758,0.7588574979454279,0.0,1.0934083099031553,3451.9366285711117,8.294736842105262,138460.80030738638,2761534.9637415367,453.6714538211172,150.79157583797465
3150,-121.724178,38.561614,14.47,7,33.49250030517578,0.7506650781724602,9.11654135338346,9.962406015037594,3842.8430126516223,8.294736842105262,183771.35421048626,3171026.1912841895,494.1931502084698,113.94576577302136
3145,-121.729915,38.561676,18.71,9,33.195133209228516,0.7212918070144951,4.636591478696742,0.0,2835.8334957425673,8.294736842105262,171959.47542335538,3174986.4748650375,375.6581920448368,93.49025067949854
3248,-121.729899,38.562577,2.54,2,33.130191802978516,0.7245221651392058,11.090225563909774,7.894736842105263,1686.6754317995972,12.2431055682417,205852.39307956595,4452147.307361334,277.34393176217,6.4420868113902845
3247,-121.730908,38.562519,0.0,0,33.56769561767578,0.72063454950694,3.2946344524631312,2.4788202070913083,1686.6754317995972,12.2431055682417,5000.0,364127.1928692163,315.67021914820276,2.9842045787014952
3249,-121.728752,38.562564,12.58,4,34.470054626464844,0.7327146837487817,0.0,0.0,1686.6754317995972,12.2431055682417,38379.80925015779,3843569.4179065153,259.52489454786166,0.3967642224036639
3250,-121.727604,38.562552,15.26,7,34.18977737426758,0.7196080023422837,1.971830985915493,0.0,0.0,,79941.7524392045,3041366.100703911,264.68294894063513,7.285939597651935
3352,-121.728736,38.563465,22.98,12,32.49443817138672,0.7232887893915176,13.84278108362042,3.758221108675227,3320.437334944427,12.2431055682417,46777.19558567507,4064766.736431741,159.5234067777857,41.587741246631325
3351,-121.729883,38.563478,17.2,6,31.698040008544922,0.649684801697731,0.0,1.349654739485248,1686.6754317995972,12.2431055682417,101930.38984291759,4754063.104287913,181.0684726771247,78.24416669735467
3353,-121.727588,38.563453,3.89,1,32.23808670043945,0.7451517062727362,13.892365456821029,2.690863579474343,3320.437334944427,12.2431055682417,60815.820034704215,4964304.713481976,166.177740114255,27.280601294769568
3350,-121.730752,38.563485,0.0,0,34.36409378051758,0.733485514880158,30.10012515644556,0.0,1686.6754317995972,12.2431055682417,,,218.9431478618528,10.009903366811937
3454,-121.729868,38.564379,9.11,3,31.769819259643555,0.7227438560221344,24.096764059063776,0.0,2444.62598788832,12.2431055682417,,,93.4258540753249,20.835501424968058
3251,-121.726457,38.56254,11.39,3,34.28889846801758,0.7467309723142534,1.4406514249921702,0.0,0.0,,179717.68815236358,4442023.194834752,295.93749839288546,15.80979857642033
3253,-121.724162,38.562515,8.1,5,33.355777740478516,0.7528612613677979,4.894885472230938,4.832130530279259,3842.8430126516223,8.294736842105262,177611.21491003467,3158987.8760383707,425.2101121610394,39.300238428336186
3254,-121.723014,38.562502,11.07,4,33.47199249267578,0.7364549862686545,15.629884338855891,8.033760550171928,3842.8430126516223,8.294736842105262,109205.13226929917,2616507.1440073573,385.6488351307602,51.352170651075355
3252,-121.725309,38.562527,16.49,7,33.242984771728516,0.7493172073736787,2.631578947368421,5.513784461152882,1875.823046601496,8.294736842105262,175595.4663017443,2868807.7324169674,353.0458659314902,27.216019319468007
3358,-121.721851,38.56339,0.93,1,31.61600685119629,0.7527553476393223,12.968750000000002,10.9375,2444.62598788832,12.2431055682417,118474.18466166696,4226304.595979952,246.18969354781703,13.724675646323172
3357,-121.722998,38.563403,6.64,2,32.04325866699219,0.7495814003050327,13.084405396925009,2.698462503922184,2444.62598788832,12.2431055682417,109031.89145869913,4225986.570556131,326.9715684024671,27.11074320850555
3356,-121.724146,38.563416,3.57,3,32.57305145263672,0.755697218934074,9.959285937989351,1.5346069527090511,2444.62598788832,12.2431055682417,96530.09538557539,3486117.849212665,370.7370218354291,41.02779439004709
3354,-121.726441,38.563441,18.35,7,32.04325866699219,0.7275258847512305,11.716791979949877,3.070175438596491,3320.437334944427,12.2431055682417,68715.20171113889,5359096.038754379,212.07812887675715,24.345315432581426
3355,-121.725293,38.563428,10.06,5,31.479286193847656,0.7449120676610619,6.704260651629072,5.827067669172932,2444.62598788832,12.2431055682417,70291.0492612836,3285981.895869505,285.0850793860455,7.002438770461652
3460,-121.722982,38.564304,7.84,4,30.901641845703125,0.7569180543068796,13.6235515189477,0.0,2444.62598788832,12.2431055682417,93388.56699291698,3610610.129875049,268.9495796921457,27.447020907089595
3459,-121.72413,38.564316,8.15,4,31.499794006347656,0.7571570286527276,6.1384278108362045,0.0,2444.62598788832,12.2431055682417,103910.73262617787,3343997.401292203,337.88978596903996,47.067917517775285
3461,-121.721835,38.564291,4.6,2,31.687786102294922,0.7576483726734295,13.583724569640063,0.8450704225352111,2444.62598788832,12.2431055682417,145263.65377858657,4653332.978267026,185.76195452438074,13.604814462571394
3458,-121.725277,38.564329,16.73,7,30.792264938354492,0.7495549789164215,0.7846829880728187,6.716886377903326,2444.62598788832,12.2431055682417,88259.62096882325,4294443.684666014,240.77198013544287,27.153866323888476
3457,-121.726425,38.564341,17.87,7,30.31032371520996,0.7293226718902588,8.244514106583072,4.921630094043887,2444.62598788832,12.2431055682417,50499.41232778742,4816914.887301208,147.31434188434676,22.19680588966491
3564,-121.721819,38.565192,11.91,8,31.691204071044922,0.7422148535260931,11.856963613550816,0.0,2189.952325398944,12.2431055682417,240328.39695010378,5206914.018643956,141.3703066080654,12.527710226745146
3563,-121.722966,38.565205,14.35,6,30.915313720703125,0.7310959734022617,5.48073911681804,1.252740369558409,2189.952325398944,12.2431055682417,190687.23058781825,4804484.971222116,240.4639128347966,13.661892044765038
3562,-121.724114,38.565217,11.17,8,31.739055633544922,0.7504800045862794,3.638644918444166,8.21831869510665,2444.62598788832,12.2431055682417,78985.16158410974,3177127.0217190473,333.04739324232753,40.95291745411762
3561,-121.725261,38.56523,16.19,13,31.766399383544922,0.7598946432117373,14.73816243336469,0.0,2444.62598788832,12.2431055682417,93719.81103513183,3782215.3839133503,233.95283900872602,13.936918238714451
3666,-121.72295,38.566106,6.4,4,33.109683990478516,0.7346751934383065,0.4384591293454432,9.207641716254306,2189.952325398944,12.2431055682417,170455.71964080023,4520017.919710888,248.85782227197166,84.39027465924039
3665,-121.724098,38.566118,0.42,0,32.825984954833984,0.75238470826298,12.990272983997489,1.9767806714778784,2189.952325398944,12.2431055682417,114332.61667074612,6645633.438040752,306.10332436308244,6.001397920068816
3455,-121.72872,38.564366,1.33,0,31.978317260742188,0.7006435870425776,0.0,0.0,2444.62598788832,12.2431055682417,51547.79038858727,3626999.5454838267,60.06500070069766,66.79106471879814
3456,-121.727572,38.564354,18.29,7,30.928985595703125,0.7477210570359603,8.048856874412778,0.0,2444.62598788832,12.2431055682417,67246.92711752352,5435566.173604439,72.37787388297906,5.637367225954863
3453,-121.730726,38.564385,6.02,1,34.466636657714844,0.7056451179087162,0.0,0.0,2444.62598788832,12.2431055682417,,,153.58390118975004,6.202870939948847
3556,-121.730699,38.565286,0.0,0,34.12483596801758,0.7394306176574901,0.0,0.0,2444.62598788832,12.2431055682417,,,136.07191699445994,3.4340322066117137
3560,-121.726409,38.565242,19.14,10,30.385520935058594,0.7233666537795216,8.40887777430447,0.8127539856205065,2444.62598788832,12.2431055682417,57318.52755741495,5125122.322946448,135.03831053049834,13.780277895564007
3557,-121.729852,38.56528,3.53,1,32.52178192138672,0.731030750204809,0.0,0.0,2444.62598788832,12.2431055682417,,,62.3716556420375,68.7950388971266
3558,-121.728704,38.565267,34.13,9,29.554941177368164,0.6330178771167994,24.09789770944462,0.0,2444.62598788832,12.2431055682417,,,0.0,11.303175314708373
3559,-121.727557,38.565255,12.09,5,30.28981590270996,0.7403623545542359,0.0,1.662484316185696,2444.62598788832,12.2431055682417,48568.06959604041,4707000.309484069,36.13823038313341,3.9664408505525044
3660,-121.729836,38.566181,20.05,8,31.838178634643555,0.7204238224076107,0.0,3.00187617260788,5543.58416190549,12.2431055682417,,,72.7982363849207,4.613889859405545
3659,-121.730673,38.566187,10.64,4,34.19319534301758,0.6729881730861962,0.0,3.197492163009404,5543.58416190549,12.2431055682417,,,140.90498790905738,2.742871307657297
3464,-121.718392,38.564254,5.13,4,31.725383758544922,0.7527288703713566,10.608913998744509,6.183301946013811,2444.62598788832,12.2431055682417,118891.51133067929,4352710.682399934,82.11446211671836,19.348354910423
3568,-121.717228,38.565142,3.16,2,32.85675048828125,0.7439378360286355,9.883903357389396,5.2714151239410105,3785.602208648283,12.2431055682417,246396.90654465614,4352147.162375777,102.42781728663591,80.18182680635049
3566,-121.719524,38.565167,10.7,4,30.053972244262695,0.32024587714113295,11.932352020043846,6.514249921703727,2189.952325398944,12.2431055682417,187084.06421672762,3339331.8479980435,0.0,16.729130664273193
3565,-121.720671,38.56518,4.03,3,30.946075439453125,0.7027512697968632,11.56015037593985,1.5664160401002505,2189.952325398944,12.2431055682417,246034.89895646946,3535766.35440549,45.52344439685693,76.21743392890092
3567,-121.718376,38.565155,6.66,4,31.079378128051758,0.7267968358937651,5.373978629792584,0.0,2189.952325398944,12.2431055682417,260652.7482513565,4009081.2960399375,17.913269513652853,1.1409715302526842
3668,-121.720655,38.566081,0.58,0,28.833738327026367,0.11017383285798132,15.461658841940531,0.0,2189.952325398944,12.2431055682417,,,55.54280904504959,144.17296660422238
3671,-121.717212,38.566043,0.0,0,33.40363311767578,0.7499249207321554,5.428302478820207,0.0,3957.2116890358557,12.2431055682417,181569.46916290317,5096903.646263225,86.70849421637294,61.901365468728315
3669,-121.719508,38.566068,5.55,4,29.900161743164062,0.4386717537418008,10.150375939849624,0.0,2189.952325398944,12.2431055682417,194607.75987037062,3672978.8113928223,0.0,112.69245419496625
3670,-121.71836,38.566056,0.04,0,32.32695388793945,0.7536293589510024,19.23558897243108,6.046365914786967,3733.8893542593196,12.2431055682417,177013.08851451793,3615314.9234159575,10.497142045268898,17.495406744190632
3771,-121.720639,38.566982,0.0,0,28.5568790435791,0.10000672773458064,3.5323538605814315,8.502657080337606,2189.952325398944,12.2431055682417,,,93.98429958580631,186.7336498851198
3663,-121.726393,38.566143,5.81,2,30.840116500854492,0.7328714281320572,9.92796742875039,1.127466332602568,2444.62598788832,12.2431055682417,43491.56576202949,4065389.499567357,142.89410942838202,3.9699079315621515
3667,-121.721803,38.566093,1.28,1,31.506629943847656,0.6915652193129063,13.90541810209834,1.5659254619480114,2189.952325398944,12.2431055682417,192380.9846640842,4474549.239243581,152.22731640999422,110.96117226373413
3664,-121.725245,38.566131,2.81,2,32.624324798583984,0.7514585091266781,12.12121212121212,0.0,2444.62598788832,12.2431055682417,97925.7312849794,4686220.351978073,240.99122978101408,31.507855693523407
3769,-121.722934,38.567007,4.81,5,33.304508209228516,0.7494758516550064,0.9413241292751804,6.369626608095387,2189.952325398944,12.2431055682417,204256.94643142368,4460081.574425131,274.1007908001281,127.6348152152982
3768,-121.724082,38.567019,6.96,6,33.171207427978516,0.7396797873079777,0.0,5.793924209207642,2839.566724607247,12.2431055682417,203392.41445244348,4618372.044178522,243.06728200293952,42.138194003988815
3767,-121.72523,38.567032,5.73,4,32.843074798583984,0.7370312626007944,12.523422860712056,3.216739537788882,1491.7786700804766,12.2431055682417,126961.61982005872,5069201.326372777,164.68819196982457,8.969785869972444
3766,-121.726377,38.567044,2.83,1,31.944137573242188,0.7628504186868668,24.042686754551163,0.0,2444.62598788832,12.2431055682417,84685.18691699147,4153814.2123152856,103.59361180169563,40.693635627657876
3770,-121.721787,38.566994,1.12,1,31.14432144165039,0.717099059605971,0.0,9.429824561403509,2189.952325398944,12.2431055682417,246927.42609968956,4700369.37501568,178.92840930785886,168.32120821674175
3872,-121.722918,38.567908,2.23,1,32.805477142333984,0.7521464882884175,7.986219855934857,0.0,3290.0591577935984,12.2431055682417,226638.86391559502,4807319.45994993,310.549337940605,68.2050928800862
3870,-121.725214,38.567933,1.69,1,33.331851959228516,0.7403360961470753,18.40277777777778,0.0,2839.566724607247,12.2431055682417,240947.46279271218,5049941.328444368,112.16832794203316,35.959777970469716
3662,-121.727541,38.566156,16.8,7,30.980255126953125,0.7439378360286355,23.97238782554126,1.066834013178538,2444.62598788832,12.2431055682417,48134.20673447579,4577441.801862787,52.32765410825925,0.020393464542898473
